,«· ﬁ—Ì— «·ﬂ·Ì ·—”„ «·Ê«—œ ·’‰œÊﬁ «·‰ﬁœ «·œÊ·Ì,,,,,,
"April 17, 2019",,,,,,,
TAR_HSC_NB1,,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
16023900,9213172.,135960107.09,,37350756.28,,1462825.04
72163300,8774481,357606147.13,,106289010.56,,253521854.12
15091000,2668565.,18925868.56,,5200726.65,,8847562.21
29094300,88667,1008479.68,,421043.74,,204712.96
31021000,1802710,5663344328.96,,2113991334.6,,136151441.34
96034000,3255916.,67316125.22,,9902478.76,,26019333.24
28353900,4375232,23526082.43,,5627784.86,,4828085.73
68091100,3163971,103815281.66,,15517807.5,,61560472
94014000,26628,242126.78,,154406.98,,281152.5
56031300,11601,315036.5,,40226.3,,73483.83
,,,Page 11,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
90172000,2159080.,35639657.29,,7905002.86,,13784168.25
87032290,1144489,4086371132.94,,4099888481.23,,6008930965.92
07131000,2554358,95201196.37,,20982282.54,,50591243.93
29161900,396555,4175185.75,,842319.5,,838529.61
55152100,45021,1363842.73,,254870,,1117552.69
32012000,169806,1449937.54,,331018.29,,271864.79
48010000,5958315,295203903.53,,71135915.3,,15265622.15
84603100,1611,151237.06,,27189.4,,3997.8
82159100,153002.5,4319434.64,,274106.84,,2156562.45
48043100,1849965.,11932718.97,,4257342.59,,2430674.26
92060000,27105,239134.64,,43147.32,,125828.36
72104100,4220742.,26665700.93,,12365925.79,,12160955.73
48051100,1212262,37612067.37,,14662909.5,,7346134.27
84209900,35080.7,696353.58,,196345.97,,186315.04
66032000,78484.4,904084.83,,157806.04,,371781.35
73089010,3583736.,44777057.8,,11799203.8,,1324039.67
11090000,1623161,1881834.4,,464855.43,,130812.25
72085300,6485646,27096333.35,,14100391.04,,14540933.68
48103210,3204307,13158744.32,,2989968.81,,2815124.44
39204910,4932270.,58075140.55,,14853417.22,,18272114.42
44185000,105674,759246.22,,122069,,611250.97
73064090,402853,7381588.2,,1707066.03,,2099191.78
84514010,87520,137977.81,,48247.93,,7674.4
64039100,23972.28,202280.5,,71827.08,,48577.65
63012000,195110.4,4545369.49,,448417.39,,690694.81
84304100,2362774,538756163.51,,172842150.54,,5616683.55
60012200,17020,611888,,94941,,492731.82
31023000,3677691,106474739.26,,33446901.2,,2295384.14
54026100,273,5142.94,,1344,,1113.11
38091000,118049,934295.15,,276347.33,,205483.49
20092900,651453.9,2565640.8,,966881.32,,1061593.28
63025100,4494.15,35721.12,,6049.8,,40208.13
39043000,674328,5066785.08,,1183160.5,,1080679.66
,,,Page 12,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
44187900,76979.5,3005950.45,,197303.85,,578426.77
63049190,15985,703981.06,,483668,,130696.44
29151300,65250,461966.16,,108469.35,,94660.2
73062100,334312,2853407.52,,955934.4,,547037.88
73242900,292472.6,3134731.89,,631293.87,,1780355
11043000,97116,247098.42,,71921.5,,123990.02
29182200,87050.65,1454630.52,,419049.9,,97703.22
72102000,1174520,9646285.73,,7348286.21,,5103828.48
29163900,205430.3,5587744.25,,2994937.79,,777005.61
29173900,188588.5,1702239.04,,599778.76,,357339.77
10082000,163851,111089.58,,41144.29,,0
40103300,10412,133788.94,,37293.51,,58103.2
09093000,198357,343950.37,,127389.03,,161579.75
61153000,3,22081.5,,1452,,17519.01
72123000,305492,1404553.88,,466621.26,,770305.28
15100000,290891,1385067.31,,302181.56,,353053.57
36010000,2669455,286962617.08,,29452749.4,,58507.26
28030000,763296.9,10091758.93,,2844880.44,,1883230.65
17011110,6603450,147709981.15,,44760600.35,,0
07123300,2,5430.07,,1903,,454.2
24029000,267527.5,4330219.58,,1466729.78,,5734461.9
89031000,52017,12768279.74,,1057854.5,,79700.82
74010000,23877.06,253494.91,,43647.2,,57413.39
52054400,15970,146752.48,,44470.45,,30010.86
31053000,2706306,1025545375.03,,166121396.9,,24304935.9
40029100,153995,631063.75,,156938.08,,127582.02
97020000,2324.6,773796.75,,157830,,2820.94
09012200,3953,61962.13,,20024.5,,8720.21
39211200,1255463,11466014.3,,4545677.26,,3838609.11
04041000,4381016.,67279068.84,,10534956.76,,17450518.98
29141900,100424,1526013.42,,523833.11,,326746.75
44111200,4737165,160876333.11,,21810831.24,,110169542.39
84601900,355727,60455406.01,,8418489.63,,1583650.67
,,,Page 13,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
29012300,29302,182579.17,,55026,,37962.27
72072000,1791611,3183358.45,,4601261.15,,26741.01
37012000,16215.34,403538.65,,3401051,,304405.95
84552100,874777,15656019.6,,4407961.05,,149006.9
72125000,1463312,33011483.04,,7884483.36,,14316729.08
59069190,20402,320039.59,,70055.65,,184531.5
89040000,593999,61478961.25,,15679165.2,,3910440.76
84261200,432534,9361823.08,,1745184.64,,80029.41
26011100,2953112,16877317.96,,3333871.22,,0
12079990,342150.5,803716.46,,416212.24,,894.68
25253000,1010000,464312.11,,196123.8,,0
52010010,5470594,64924882.57,,6984186.37,,51033.89
39191010,1783090.,44439106.36,,10928476.23,,9960057.4
42029200,72840.5,3920712.6,,2149227.95,,2087304.67
02102000,23036,1174513.38,,147388.69,,66994.35
73051200,4504851,19696417.99,,9183849.63,,3038.68
